,joint1,joint2,joint3,joint4,joint5,joint6,X_axis,Y_axis,Z_axis
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,56127,0,213266
2,0,0,0,0,0,0,56127,0,213266
3,-28,0,-27,0,-692,0,55999,-28,214521
4,-28,0,37,0,547,0,56232,-28,212180
5,0,0,0,0,0,0,56127,0,213266
6,19836,38,-20,0,-2109,348,52505,18941,216681
7,47305,38,-20,386,-2334,617,37837,40974,217035
8,47305,32553,-26911,0,-5960,617,84295,91367,335086
9,47305,37200,-33563,0,6674,617,94356,102272,343994
10,47305,37145,-33563,0,50320,617,73328,79480,283886
11,47305,58775,-33839,0,10719,617,141109,152947,273268
12,47305,90626,-41213,424,-21579,617,217194,235048,209875
13,47247,90809,-43058,1726,37487,617,173276,189893,161096
14,47247,67130,-43006,1726,55885,617,129659,143598,248950
15,47247,22235,-36064,12601,68653,617,14579,43010,299716
16,47247,-1278,-14901,12542,53521,617,1179,24684,219309
17,47247,-1222,-14901,8778,47223,617,8977,24728,227115
18,47247,-1159,-14901,8879,-28768,367,6227,-3222,335527
19,47247,-1159,-14901,9533,-57471,367,-16841,-36937,354676
20,83588,-1159,-14901,9287,-56786,367,8020,-38649,354511
21,97584,12829,-24510,9337,-56311,367,12969,-4320,402420
22,97533,58711,-65752,10392,-38046,367,-14295,185258,527076
23,97411,87449,-70716,10454,-34460,367,-37135,357919,411692
24,92810,108947,-96147,18694,-12420,370,-16786,469909,371634
25,91053,124340,-99099,17228,-20463,-515,-226,524626,267300
26,84440,139202,-109381,11601,-17770,-515,60382,562682,181313
27,82603,140453,-109381,8199,1756,-515,71404,553125,140133
28,82603,134828,-109381,9468,-17326,-515,76491,554591,223783
29,82654,124542,-109213,9390,-51309,997,76839,505388,369153
30,82710,92672,-109149,7718,-23650,2003,48171,337943,579743
31,82710,67927,-109149,7676,10765,8180,18209,160249,648354
32,82710,51250,-109254,7920,20261,8800,-2514,14570,662699
33,82710,32579,-98744,13700,38330,5814,-23675,-79738,601858
34,82710,17517,-42663,17823,12412,-8068,-1586,34785,418265
35,82710,8034,-15872,18012,-1255,-14651,7417,53127,299887
36,28925,8034,-15872,20825,-2319,-14696,47235,24606,301382
37,11857,8034,-15872,20825,-21896,-14696,42245,-3458,327510
38,11857,8034,-21760,19221,-48912,-14696,-3161,-23736,382529
39,11857,7823,-77660,16771,-31051,-14696,-244953,-65270,534439
40,11857,7653,-104098,14271,-4536,-14696,-362608,-77947,527781
41,11857,7083,-111256,11727,54221,-14696,-323893,-52671,499728
42,11857,7142,-109419,11821,74900,-14696,-293187,-43166,477482
43,11857,7428,-60560,17810,39054,-14696,-79607,1204,453523
44,11857,7488,-50076,38055,27629,-14696,-47590,16589,435131
45,11901,29064,-49990,58786,15494,-24518,66338,35229,450323
46,11962,32304,-49825,57501,15441,-25828,84931,38884,444451
47,46607,32304,-49825,48930,15385,-31325,50153,79546,441833
48,79776,42486,-58401,47132,15586,-40870,5793,133088,467990
49,115776,77301,-79020,32252,4913,-41003,-139785,279896,462209
50,127378,98527,-79613,26653,-22294,-40981,-241366,341447,367303
51,126133,112304,-79613,26890,-32647,-40807,-255271,387286,275734
52,118229,127394,-79518,29857,-31657,-40807,-208841,439283,147076
53,117980,118559,-79579,29869,-41143,-40763,-196503,433428,235430
54,118045,81123,-79579,29919,-41143,-40701,-118826,286573,500961
55,118045,71589,-86074,32999,13769,-40118,-135409,229095,519857
56,118045,61635,-86288,31451,40588,-40180,-117474,154810,523289
57,118045,40320,-86288,30915,41755,-40090,-43288,15035,563767
58,118045,38497,-59919,28913,37599,-40142,-72573,79135,448810
59,118045,17105,-14058,19230,7763,-40142,-42033,70291,264926
60,118045,8565,-2737,20330,5264,-40142,-34543,58673,212432
61,118045,8630,-2737,20728,13060,-40091,-37445,54809,200982
