,joint1,joint2,joint3,joint4,joint5,joint6,X_axis,Y_axis,Z_axis
0,0,0,0,0,0,0,0,0,0
1,-5142,4215,514,12606,0,-6848,62583,-5631,205828
2,-5142,4215,514,12606,0,-6848,62583,-5631,205828
3,-5142,4215,514,12606,0,-6848,62583,-5631,205828
4,-5142,4215,514,12606,0,-6848,62583,-5631,205828
5,-5142,4215,514,12606,0,-6848,62583,-5631,205828
6,-5142,4215,514,12606,0,-6848,62583,-5631,205828
7,-5142,4215,514,12606,0,-6848,62583,-5631,205828
8,-5142,4215,514,12606,0,-6848,62583,-5631,205828
9,-5142,4215,514,12606,0,-6848,62583,-5631,205828
10,-5142,4215,514,12606,0,-6848,62583,-5631,205828
11,-5142,4215,514,12606,0,-6848,62583,-5631,205828
12,-5142,4215,514,12606,0,-6848,62583,-5631,205828
13,-5142,4215,514,12606,0,-6848,62583,-5631,205828
14,-5142,4215,514,12606,0,-6848,62583,-5631,205828
15,-5142,4215,514,12606,0,-6848,62583,-5631,205828
16,-5142,4215,514,12606,0,-6848,62583,-5631,205828
17,-5142,4215,514,12606,0,-6848,62583,-5631,205828
18,-5142,4215,514,12606,0,-6848,62583,-5631,205828
19,-5142,4215,514,12606,0,-6848,62583,-5631,205828
20,-5142,4215,514,12606,0,-6848,62583,-5631,205828
21,-5142,4215,514,12606,0,-6848,62583,-5631,205828
22,-5142,4215,514,12606,0,-6848,62583,-5631,205828
23,-5142,4215,514,12606,0,-6848,62583,-5631,205828
24,-5142,4215,514,12606,0,-6848,62583,-5631,205828
25,-5142,4215,514,12606,0,-6848,62583,-5631,205828
26,-5142,4215,514,12606,0,-6848,62583,-5631,205828
27,-5142,4215,514,12606,0,-6848,62583,-5631,205828
28,-5142,4215,514,12606,0,-6848,62583,-5631,205828
29,-5142,4215,514,12606,0,-6848,62583,-5631,205828
30,-5142,4215,514,12606,0,-6848,62583,-5631,205828
31,-5142,4215,514,12606,0,-6848,62583,-5631,205828
32,-5142,4215,514,12606,0,-6848,62583,-5631,205828
33,-5142,4215,514,12606,0,-6848,62583,-5631,205828
34,-5142,4215,514,12606,0,-6848,62583,-5631,205828
35,-5142,4215,514,12606,0,-6848,62583,-5631,205828
36,-5142,4215,514,12606,0,-6848,62583,-5631,205828
37,-5142,4215,514,12606,0,-6848,62583,-5631,205828
38,-5142,4215,514,12606,0,-6848,62583,-5631,205828
39,-5142,4215,514,12606,0,-6848,62583,-5631,205828
40,-5142,4215,514,12606,0,-6848,62583,-5631,205828
41,-5142,4215,514,12606,0,-6848,62583,-5631,205828
42,-5142,4215,514,12606,0,-6848,62583,-5631,205828
43,-5142,4215,514,12606,0,-6848,62583,-5631,205828
44,-5142,4215,514,12606,0,-6848,62583,-5631,205828
45,-5142,4215,514,12606,0,-6848,62583,-5631,205828
46,-5142,4215,514,12606,0,-6848,62583,-5631,205828
47,-5142,4215,514,12606,0,-6848,62583,-5631,205828
48,-5142,4215,514,12606,0,-6848,62583,-5631,205828
49,-5142,4215,514,12606,0,-6848,62583,-5631,205828
50,-5142,4215,514,12606,0,-6848,62583,-5631,205828
51,-5142,4215,514,12606,0,-6848,62583,-5631,205828
52,-5142,4215,514,12606,0,-6848,62583,-5631,205828
53,-5142,4215,514,12606,0,-6848,62583,-5631,205828
54,-5142,4215,514,12606,795,-6795,62605,-5357,204595
55,-5142,4215,514,12606,1281,-6844,62609,-5188,203842
56,-5142,4215,514,12606,1570,-6845,62609,-5087,203394
57,-5142,4215,514,12606,1687,-6845,62608,-5047,203213
58,-5142,4215,514,12606,1684,-6845,62608,-5048,203218
59,-5142,4215,514,12606,1684,-6845,62608,-5048,203218
60,-5142,4215,514,12606,1684,-6845,62608,-5048,203218
61,-5142,4215,514,12606,1684,-6845,62608,-5048,203218
62,-5142,4215,514,12606,1604,-6845,62609,-5077,203347
63,-5142,4215,514,12606,1281,-6845,62609,-5188,203842
64,-5142,4215,514,12606,498,-6845,62599,-5459,205056
65,-5142,4215,514,12606,-1300,-6845,62510,-6077,207843
66,-5142,4215,514,12606,-3368,-6845,62297,-6778,211045
67,-5142,4215,514,12606,-5522,-6845,61866,-7636,215038
68,-5142,4215,514,12606,-8194,-6845,61345,-8362,218481
69,-5142,4215,514,12606,-9400,-6845,60928,-8830,220731
70,-5142,4215,450,12606,-10171,-6845,60687,-9025,222074
71,-5142,4215,273,12606,-10338,-6845,60577,-9026,222965
